"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1961/01/01","00:00","2.713","1.962","1.473","0.892","0.873","0.272","0.013","-0.285","0"
"1961/02/01","00:00","2.313","1.742","1.352","0.755","0.755","0.144","-0.066","-0.285","0"
"1961/03/01","00:00","1.913","1.594","1.293","0.653","0.653","0.013","-0.108","-0.285","0"
"1961/04/01","00:00","2.014","1.522","1.175","0.584","0.564","-0.046","-0.167","-0.486","0"
"1961/05/01","00:00","2.113","1.614","1.165","0.604","0.574","-0.016","-0.226","-0.486","0"
"1961/06/01","00:00","2.615","1.942","1.424","0.755","0.732","0.052","-0.177","-0.387","0"
"1961/07/01","00:00","2.615","2.113","1.644","0.974","0.974","0.312","0.072","-0.285","0"
"1961/08/01","00:00","2.415","1.903","1.562","0.965","0.955","0.344","0.135","-0.285","0"
"1961/09/01","00:00","2.313","1.962","1.644","1.083","1.073","0.512","0.374","0.213","0"
"1961/10/01","00:00","2.313","2.044","1.683","1.053","1.093","0.512","0.423","0.115","0"
"1961/11/01","00:00","2.014","1.703","1.283","0.745","0.712","0.135","-0.095","-0.486","0"
"1961/12/01","00:00","2.313","1.614","1.175","0.623","0.604","0.033","-0.266","-0.587","0"
"1962/01/01","00:00","2.513","1.844","1.352","0.755","0.764","0.184","-0.118","-0.587","0"
"1962/02/01","00:00","2.615","2.054","1.614","1.033","1.004","0.404","0.164","-0.187","0"
"1962/03/01","00:00","2.215","1.844","1.463","0.873","0.853","0.243","0.092","-0.285","0"
"1962/04/01","00:00","2.215","1.932","1.552","0.955","0.932","0.312","0.194","-0.085","0"
"1962/05/01","00:00","2.415","1.772","1.322","0.722","0.702","0.072","-0.128","-0.285","0"
"1962/06/01","00:00","2.513","1.854","1.385","0.804","0.774","0.164","-0.075","-0.387","0"
"1962/07/01","00:00","2.313","1.804","1.312","0.702","0.682","0.052","-0.207","-0.587","0"
"1962/08/01","00:00","2.415","1.873","1.473","0.883","0.863","0.253","0.052","-0.285","0"
"1962/09/01","00:00","2.113","1.663","1.365","0.823","0.794","0.223","0.102","-0.085","0"
"1962/10/01","00:00","2.113","1.654","1.302","0.794","0.755","0.203","0.043","-0.187","0"
"1962/11/01","00:00","2.215","1.683","1.234","0.673","0.643","0.043","-0.207","-0.587","0"
"1962/12/01","00:00","2.513","1.903","1.424","0.853","0.823","0.233","-0.056","-0.486","0"
"1963/01/01","00:00","2.513","1.903","1.444","0.892","0.853","0.253","0.003","-0.387","0"
"1963/02/01","00:00","2.313","1.742","1.342","0.804","0.774","0.194","-0.036","-0.387","0"
"1963/03/01","00:00","2.014","1.683","1.322","0.804","0.755","0.174","0.023","-0.187","0"
"1963/04/01","00:00","1.814","1.542","1.155","0.614","0.584","0.013","-0.118","-0.587","0"
"1963/05/01","00:00","2.215","1.594","1.142","0.623","0.614","0.072","-0.128","-0.387","0"
"1963/06/01","00:00","2.215","1.585","1.132","0.643","0.594","0.062","-0.207","-0.686","0"
"1963/07/01","00:00","2.113","1.644","1.142","0.594","0.574","-0.007","-0.256","-0.587","0"
"1963/08/01","00:00","2.415","1.923","1.473","0.892","0.883","0.292","0.062","-0.285","0"
"1963/09/01","00:00","2.513","1.962","1.614","1.024","1.004","0.394","0.253","0.013","0"
"1963/10/01","00:00","2.215","1.903","1.552","0.994","0.974","0.384","0.243","-0.085","0"
"1963/11/01","00:00","2.615","2.034","1.575","1.024","0.994","0.413","0.174","-0.285","0"
"1963/12/01","00:00","2.615","2.123","1.542","0.984","0.945","0.344","0.062","-0.587","0"
"1964/01/01","00:00","2.113","1.512","0.974","0.433","0.413","-0.157","-0.427","-0.787","0"
"1964/02/01","00:00","1.713","1.385","0.974","0.453","0.413","-0.148","-0.358","-0.686","0"
"1964/03/01","00:00","1.814","1.453","1.122","0.564","0.545","-0.036","-0.207","-0.486","0"
"1964/04/01","00:00","1.913","1.493","1.083","0.545","0.492","-0.085","-0.246","-0.486","0"
"1964/05/01","00:00","2.215","1.654","1.142","0.653","0.594","0.043","-0.157","-0.486","0"
"1964/06/01","00:00","2.113","1.542","1.024","0.545","0.472","-0.066","-0.318","-0.686","0"
"1964/07/01","00:00","2.415","1.873","1.404","0.863","0.833","0.253","-0.026","-0.787","0"
"1964/08/01","00:00","2.713","2.113","1.673","1.132","1.093","0.522","0.302","-0.085","0"
"1964/09/01","00:00","2.615","2.044","1.654","1.102","1.053","0.443","0.312","0.115","0"
"1964/10/01","00:00","2.113","1.795","1.404","0.814","0.784","0.164","0.013","-0.387","0"
"1964/11/01","00:00","2.513","1.824","1.375","0.774","0.755","0.135","-0.108","-0.486","0"
"1964/12/01","00:00","2.713","1.903","1.375","0.784","0.755","0.144","-0.167","-0.486","0"
"1965/01/01","00:00","2.615","1.804","NaN","0.702","NaN","NaN","-0.167","-0.587","0"
"1965/02/01","00:00","2.215","1.585","NaN","0.574","NaN","NaN","-0.207","-0.686","0"
"1965/03/01","00:00","1.814","1.453","NaN","0.564","NaN","NaN","-0.177","-0.486","0"
"1965/04/01","00:00","1.814","1.424","NaN","0.535","NaN","NaN","-0.236","-0.787","0"
"1965/05/01","00:00","1.814","1.302","NaN","0.262","NaN","NaN","-0.636","-1.086","0"
"1965/06/01","00:00","2.113","1.483","NaN","0.364","NaN","NaN","-0.548","-0.988","0"
"1965/07/01","00:00","2.513","1.713","NaN","0.554","NaN","NaN","-0.318","-0.686","0"
