Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf,station_id
1985/03/01,00:00,2.474,1.873,1.532,0.879,0.874,0.217,0.085,-0.157,0,1611400
1985/04/01,00:00,1.932,1.709,1.407,0.755,0.753,0.098,-0.013,-0.466,0,1611400
1985/05/01,00:00,2.195,1.545,1.175,0.541,0.545,-0.085,-0.322,-0.666,0,1611400
1985/06/01,00:00,2.493,1.995,1.44,0.873,0.842,0.243,-0.052,-0.505,0,1611400
1985/07/01,00:00,2.733,2.313,1.772,1.175,1.132,0.482,0.243,-0.226,0,1611400
1985/08/01,00:00,2.434,1.923,1.552,0.945,0.922,0.302,0.135,-0.118,0,1611400
1985/09/01,00:00,2.064,1.785,1.532,0.922,0.922,0.312,0.203,-0.016,0,1611400
1985/10/01,00:00,2.523,1.972,1.654,1.024,1.014,0.384,0.233,-0.046,0,1611400
1985/11/01,00:00,2.703,1.982,1.634,0.945,0.965,0.292,0.072,-0.568,0,1611400
1985/12/01,00:00,2.343,1.683,1.243,0.594,0.564,-0.108,-0.305,-0.715,0,1611400
1986/01/01,00:00,2.352,1.722,1.263,0.653,0.623,-0.007,-0.207,-0.686,0,1611400
1986/02/01,00:00,2.113,1.654,1.293,0.643,0.643,-0.007,-0.177,-0.607,0,1611400
1986/03/01,00:00,1.962,1.634,1.312,0.663,0.663,0.003,-0.108,-0.338,0,1611400
1986/04/01,00:00,2.054,1.444,1.043,0.443,0.433,-0.187,-0.318,-0.728,0,1611400
1986/05/01,00:00,2.552,1.654,1.273,0.623,0.633,-0.007,-0.197,-0.636,0,1611400
1986/06/01,00:00,2.592,1.903,1.414,0.814,0.804,0.184,-0.066,-0.427,0,1611400
1986/07/01,00:00,2.283,1.663,1.214,0.584,0.564,-0.085,-0.328,-0.705,0,1611400
1986/08/01,00:00,2.313,1.742,1.332,0.673,0.673,0.003,-0.187,-0.518,0,1611400
1986/09/01,00:00,2.293,1.942,1.634,0.984,0.994,0.354,0.243,0.033,0,1611400
1986/10/01,00:00,2.172,1.732,1.424,0.804,0.794,0.164,-0.016,-0.417,0,1611400
1986/11/01,00:00,2.425,1.795,1.234,0.673,0.633,0.033,-0.226,-0.778,0,1611400
1986/12/01,00:00,2.425,1.785,1.204,0.574,0.545,-0.118,-0.397,-0.876,0,1611400
1987/01/01,00:00,2.264,1.575,1.132,0.463,0.453,-0.226,-0.436,-0.837,0,1611400
1987/02/01,00:00,2.195,1.585,1.224,0.584,0.574,-0.075,-0.226,-0.528,0,1611400
1987/03/01,00:00,1.713,1.424,1.122,0.482,0.472,-0.177,-0.285,-0.676,0,1611400
1987/04/01,00:00,1.962,1.575,1.184,0.535,0.535,-0.128,-0.295,-0.778,0,1611400
1987/05/01,00:00,2.234,1.742,1.302,0.663,0.663,0.013,-0.207,-0.528,0,1611400
1987/06/01,00:00,2.244,1.644,1.063,0.492,0.453,-0.148,-0.397,-0.827,0,1611400
1987/07/01,00:00,2.283,1.604,1.122,0.502,0.482,-0.157,-0.397,-0.866,0,1611400
1987/08/01,00:00,2.392,1.683,1.263,0.614,0.584,-0.095,-0.285,-0.666,0,1611400
1987/09/01,00:00,2.034,1.604,1.243,0.594,0.584,-0.075,-0.207,-0.456,0,1611400
1987/10/01,00:00,1.864,1.562,1.175,0.535,0.522,-0.128,-0.256,-0.636,0,1611400
1987/11/01,00:00,2.234,1.644,1.132,0.545,0.512,-0.118,-0.358,-0.728,0,1611400
1987/12/01,00:00,2.812,2.064,1.512,0.892,0.873,0.223,-0.056,-0.577,0,1611400
1988/01/01,00:00,2.513,1.962,1.414,0.784,0.764,0.115,-0.148,-0.607,0,1611400
1988/02/01,00:00,2.392,1.834,1.444,0.794,0.794,0.135,-0.046,-0.367,0,1611400
1988/03/01,00:00,2.083,1.785,1.453,0.774,0.774,0.092,-0.036,-0.456,0,1611400
1988/04/01,00:00,2.254,1.932,1.552,0.892,0.883,0.223,0.043,-0.338,0,1611400
1988/05/01,00:00,2.382,1.854,1.302,0.722,0.692,0.082,-0.138,-0.407,0,1611400
1988/06/01,00:00,2.733,2.274,1.644,1.053,1.014,0.384,0.102,-0.167,0,1611400
1988/07/01,00:00,2.812,2.415,1.932,1.243,1.214,0.502,0.262,-0.118,0,1611400
1988/08/01,00:00,2.523,2.152,1.804,1.112,1.122,0.433,0.243,-0.187,0,1611400
1988/09/01,00:00,2.244,1.972,1.624,0.974,0.974,0.325,0.164,-0.157,0,1611400
1988/10/01,00:00,2.894,2.142,1.693,1.083,1.063,0.423,0.282,0.013,0,1611400
1988/11/01,00:00,2.362,2.005,1.473,0.902,0.883,0.282,0.043,-0.476,0,1611400
1988/12/01,00:00,2.474,1.942,1.463,0.853,0.833,0.203,-0.066,-0.548,0,1611400
1989/01/01,00:00,2.274,1.814,1.385,0.712,0.702,0.013,-0.226,-0.728,0,1611400
1989/02/01,00:00,2.274,1.804,1.404,0.764,0.745,0.082,-0.066,-0.456,0,1611400
1989/03/01,00:00,2.592,2.103,1.742,1.073,1.073,0.404,0.233,-0.095,0,1611400
1989/04/01,00:00,2.343,1.854,1.522,0.873,0.873,0.223,0.082,-0.236,0,1611400
1989/05/01,00:00,2.513,1.673,1.302,0.673,0.673,0.043,-0.197,-0.548,0,1611400
1989/06/01,00:00,2.333,1.864,1.375,0.712,0.712,0.043,-0.226,-0.666,0,1611400
1989/07/01,00:00,2.572,2.083,1.624,0.965,0.932,0.243,0.043,-0.358,0,1611400
1989/08/01,00:00,2.313,1.683,1.342,0.673,0.663,-0.016,-0.177,-0.446,0,1611400
